Date,Open,High,Low,Close,Adj Close,Volume
2022-06-21,233.000000,235.666672,230.000000,232.024994,232.024994,1315524
2022-06-22,231.608337,237.500000,224.216660,225.991669,225.991669,1961436
2022-06-23,226.600006,241.649994,226.600006,238.633331,238.633331,2380770
2022-06-24,241.833328,244.666672,236.933334,239.408340,239.408340,1832178
2022-06-27,244.416672,247.324997,241.866669,245.383331,245.383331,1855644
2022-06-28,244.633331,244.633331,237.666672,239.933334,239.933334,1985376
2022-06-29,238.266663,244.125000,232.608337,237.908340,237.908340,2296182
2022-06-30,239.408340,241.666672,229.500000,234.491669,234.491669,1879416
2022-07-01,233.300003,236.666672,230.233337,235.675003,235.675003,862824
2022-07-04,233.666672,236.333328,230.833328,232.600006,232.600006,1039218
2022-07-05,235.000000,236.666672,229.008331,230.574997,230.574997,1026042
2022-07-06,231.633331,234.449997,231.066666,233.699997,233.699997,594504
2022-07-07,236.925003,245.000000,236.666672,242.216660,242.216660,4029612
2022-07-08,243.500000,245.000000,230.824997,232.308334,232.308334,2493648
2022-07-11,234.666672,236.725006,231.333328,235.041672,235.041672,956796
2022-07-12,233.675003,234.800003,232.149994,233.524994,233.524994,547140
2022-07-13,235.666672,241.441666,233.666672,239.291672,239.291672,1799586
2022-07-14,239.416672,240.250000,234.666672,236.008331,236.008331,915060
2022-07-15,236.666672,237.333328,232.725006,234.850006,234.850006,1097976
2022-07-18,236.666672,237.166672,231.750000,233.550003,233.550003,1783884
2022-07-19,233.166672,234.641663,231.666672,232.633331,232.633331,828078
2022-07-20,235.666672,237.166672,232.850006,234.300003,234.300003,1703850
2022-07-21,235.783340,236.633331,233.524994,235.000000,235.000000,1534320
2022-07-22,235.841660,244.033340,235.833328,242.308334,242.308334,3424188
2022-07-25,242.233337,242.333328,234.166672,238.983337,238.983337,1879896
2022-07-26,240.000000,247.758331,235.074997,242.350006,242.350006,3720174
2022-07-27,239.833328,240.641663,235.183334,239.283340,239.283340,2080848
2022-07-28,240.341660,242.991669,231.500000,233.491669,233.491669,2813946
2022-07-29,235.833328,238.091660,231.683334,232.850006,232.850006,3286560
2022-08-01,234.266663,236.933334,231.833328,235.991669,235.991669,2815536
2022-08-02,234.949997,242.941666,233.000000,239.766663,239.766663,4198638
2022-08-03,240.166672,245.833328,235.183334,240.008331,240.008331,3125874
2022-08-04,240.666672,244.516663,236.000000,240.733337,240.733337,3570018
2022-08-05,240.666672,241.333328,233.833328,235.208328,235.208328,2829120
2022-08-08,243.333328,245.608337,234.808334,236.033340,236.033340,8508552
2022-08-10,236.750000,238.416672,230.666672,231.675003,231.675003,3416586
2022-08-11,235.000000,239.166672,232.500000,236.358337,236.358337,3801462
2022-08-12,236.358337,236.358337,232.416672,233.116669,233.116669,2210538
2022-08-16,233.333328,235.566666,232.250000,233.241669,233.241669,1220394
2022-08-17,234.991669,234.991669,232.058334,233.491669,233.491669,2007894
2022-08-18,233.500000,233.991669,230.333328,231.250000,231.250000,1943826
2022-08-19,233.166672,235.800003,227.699997,233.208328,233.208328,3488478
2022-08-22,232.500000,232.500000,226.833328,228.966660,228.966660,2039322
2022-08-23,226.833328,230.833328,226.666672,227.441666,227.441666,1119720
2022-08-24,228.658340,229.908340,225.000000,225.591660,225.591660,1044588
2022-08-25,226.824997,230.000000,225.691666,227.408340,227.408340,1601964
2022-08-26,230.666672,230.833328,226.591660,227.708328,227.708328,1641684
2022-08-29,224.833328,227.500000,217.649994,224.399994,224.399994,1585098
2022-08-30,226.216660,233.500000,225.000000,231.741669,231.741669,2553000
2022-09-01,231.666672,231.666672,227.183334,227.841660,227.841660,1273710
2022-09-02,229.666672,231.300003,225.000000,227.291672,227.291672,1235970
2022-09-05,228.666672,230.625000,227.000000,227.641663,227.641663,1371228
2022-09-06,228.258331,230.316666,225.000000,225.800003,225.800003,1053066
2022-09-07,225.666672,227.649994,224.475006,225.766663,225.766663,823008
2022-09-08,227.550003,227.550003,225.000000,225.333328,225.333328,794052
2022-09-09,226.666672,226.891663,221.666672,224.625000,224.625000,1583910
2022-09-12,226.158340,226.291672,221.949997,223.250000,223.250000,1120578
2022-09-13,224.500000,230.500000,222.500000,226.933334,226.933334,3468258
2022-09-14,223.333328,225.541672,222.666672,223.274994,223.274994,1633650
2022-09-15,223.666672,225.833328,221.666672,222.508331,222.508331,1212030
2022-09-16,222.500000,228.133331,217.166672,225.883331,225.883331,2795904
2022-09-19,228.133331,228.133331,222.166672,222.958328,222.958328,1253508
2022-09-20,225.166672,225.175003,220.016663,220.875000,220.875000,1003404
2022-09-21,222.308334,225.000000,218.500000,219.291672,219.291672,1329726
2022-09-22,218.324997,222.500000,218.166672,220.633331,220.633331,1250808
2022-09-23,221.333328,222.158340,217.333328,217.916672,217.916672,605346
2022-09-26,216.666672,217.899994,208.958328,212.916672,212.916672,1586850
2022-09-27,213.333328,217.500000,207.566666,214.833328,214.833328,2613642
2022-09-28,214.500000,214.500000,208.933334,213.033340,213.033340,2074842
2022-09-29,223.166672,224.983337,211.141663,214.133331,214.133331,5846526
2022-09-30,215.500000,217.350006,210.191666,212.016663,212.016663,3149604
2022-10-03,212.500000,235.666672,212.500000,217.366669,217.366669,18901530
2022-10-04,221.666672,224.824997,216.983337,217.908340,217.908340,5572272
2022-10-06,219.416672,220.166672,213.333328,214.058334,214.058334,5378088
2022-10-07,216.666672,219.000000,213.000000,214.050003,214.050003,5153520
2022-10-10,211.250000,218.316666,211.233337,214.475006,214.475006,3792576
2022-10-11,215.833328,215.833328,209.350006,210.100006,210.100006,2080374
2022-10-12,210.100006,210.833328,206.166672,208.875000,208.875000,2351328
2022-10-13,209.833328,210.000000,201.175003,202.466660,202.466660,3512178
2022-10-14,205.783340,205.833328,199.666672,201.199997,201.199997,3665694
2022-10-17,201.199997,201.283340,191.833328,193.416672,193.416672,4342974
2022-10-18,193.666672,194.833328,190.000000,190.691666,190.691666,4615566
2022-10-19,189.833328,193.333328,188.333328,192.058334,192.058334,3452862
2022-10-20,192.225006,197.166672,190.833328,193.958328,193.958328,3359892
2022-10-21,194.649994,195.666672,188.166672,189.216660,189.216660,2684220
2022-10-24,191.833328,192.000000,189.833328,190.649994,190.649994,432612
2022-10-25,191.166672,191.258331,184.666672,185.216660,185.216660,3018168
2022-10-27,186.333328,186.641663,173.475006,174.899994,174.899994,9096378
2022-10-28,175.000000,175.833328,162.500000,163.925003,163.925003,24044628
2022-10-31,163.925003,196.708328,163.708328,192.125000,192.125000,55319610
2022-11-01,199.783340,205.550003,194.441666,197.566666,197.566666,64432812
2022-11-02,200.000000,201.666672,190.358337,192.183334,192.183334,25471206
2022-11-03,190.000000,194.666672,186.016663,188.016663,188.016663,11718042
2022-11-04,187.500000,189.441666,183.500000,184.108337,184.108337,6872412
2022-11-07,187.791672,191.666672,186.108337,188.683334,188.683334,6841434
2022-11-09,190.833328,190.833328,172.983337,176.716660,176.716660,13222260
2022-11-10,167.000000,191.750000,165.649994,188.250000,188.250000,58730964
2022-11-11,192.149994,224.449997,188.250000,207.850006,207.850006,46998979
2022-11-14,209.300003,216.550003,203.000000,211.600006,211.600006,20551786
2022-11-15,210.000000,211.449997,191.199997,192.050003,192.050003,26808991
2022-11-16,185.000000,191.399994,177.600006,184.449997,184.449997,32160289
2022-11-17,182.000000,189.399994,171.050003,185.600006,185.600006,49929940
2022-11-18,190.500000,196.600006,190.149994,192.399994,192.399994,33528100
2022-11-21,191.899994,191.899994,180.899994,183.500000,183.500000,10352247
2022-11-22,186.100006,187.250000,174.500000,175.199997,175.199997,32627315
2022-11-23,169.000000,174.500000,169.000000,171.699997,171.699997,22284438
2022-11-24,174.500000,176.699997,170.550003,171.050003,171.050003,14155902
2022-11-25,172.449997,178.899994,171.949997,176.050003,176.050003,17068032
2022-11-28,177.100006,180.699997,173.399994,178.800003,178.800003,10237340
2022-11-29,179.899994,180.000000,175.000000,175.699997,175.699997,4580978
2022-11-30,176.850006,177.250000,172.000000,172.300003,172.300003,9072872
2022-12-01,175.000000,175.600006,170.800003,171.399994,171.399994,13074689
2022-12-02,172.000000,180.300003,171.949997,178.350006,178.350006,12972077
2022-12-05,179.000000,179.699997,174.100006,175.800003,175.800003,6569928
2022-12-06,175.899994,176.500000,173.300003,173.800003,173.800003,3716394
2022-12-07,174.000000,175.750000,171.899994,172.649994,172.649994,5130935
2022-12-08,173.550003,174.399994,171.750000,173.050003,173.050003,5052347
2022-12-09,173.949997,176.949997,173.000000,174.600006,174.600006,8296193
2022-12-12,174.850006,175.500000,172.750000,173.350006,173.350006,4762979
2022-12-13,172.199997,175.449997,172.199997,172.949997,172.949997,5644287
2022-12-14,174.300003,174.300003,171.750000,172.600006,172.600006,5153788
2022-12-15,174.000000,175.250000,169.500000,170.800003,170.800003,7788442
2022-12-16,170.800003,171.399994,166.600006,168.050003,168.050003,7329556
2022-12-19,168.899994,169.199997,159.699997,163.250000,163.250000,13612050
2022-12-20,164.000000,164.600006,158.399994,160.399994,160.399994,11037630
2022-12-21,161.300003,162.250000,151.600006,152.699997,152.699997,12249784
2022-12-22,154.000000,156.000000,147.750000,151.500000,151.500000,10324183
2022-12-23,149.850006,149.850006,139.399994,144.850006,144.850006,12029763
2022-12-26,143.500000,152.199997,140.699997,150.600006,150.600006,9194594
2022-12-27,153.300003,153.949997,149.100006,149.699997,149.699997,4645644
2022-12-28,150.000000,152.250000,148.500000,150.750000,150.750000,5075784
2022-12-29,149.300003,160.399994,148.800003,158.100006,158.100006,13768511
2022-12-30,159.000000,161.199997,153.000000,154.850006,154.850006,8413870
2023-01-02,155.899994,156.000000,153.500000,155.149994,155.149994,4032472
2023-01-03,155.000000,155.800003,152.500000,153.500000,153.500000,3651081
2023-01-04,153.800003,156.899994,152.500000,153.500000,153.500000,7975685
2023-01-05,153.699997,155.000000,152.149994,154.050003,154.050003,2164965
2023-01-06,153.800003,154.500000,152.500000,153.250000,153.250000,2896094
2023-01-09,154.000000,154.500000,152.100006,152.949997,152.949997,1731845
2023-01-10,153.000000,153.100006,149.850006,150.500000,150.500000,2521577
2023-01-11,151.300003,155.899994,150.699997,155.100006,155.100006,5515166
2023-01-12,153.699997,156.649994,147.649994,149.800003,149.800003,26518030
2023-01-13,150.199997,150.199997,146.250000,147.600006,147.600006,5853410
2023-01-16,148.300003,148.300003,139.050003,140.250000,140.250000,11507707
2023-01-17,141.000000,141.000000,132.300003,133.300003,133.300003,25302181
2023-01-18,133.000000,133.199997,123.349998,128.949997,128.949997,52651238
2023-01-19,128.750000,133.100006,126.599998,129.050003,129.050003,26175547
2023-01-20,129.100006,130.550003,126.500000,127.199997,127.199997,8489674
2023-01-23,128.399994,129.899994,120.699997,124.750000,124.750000,29518586
2023-01-24,125.500000,135.199997,123.750000,134.350006,134.350006,61767782
2023-01-25,134.000000,138.399994,127.199997,129.250000,129.250000,43781731
